Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
88,Broadcom,Technology,52432.0,46.4,37000.0,"Palo Alto, California"
89,Deere,Agriculture manufacturing,51716.0,-15.6,55524.0,"Moline, Illinois"
90,Nike,Apparel,51361.0,0.3,78400.0,"Beaverton, Oregon"
91,Liberty Mutual Insurance Group,Insurance,50429.0,-4.1,40000.0,"Boston, Massachusetts"
92,Plains GP Holdings,Petroleum,50073.0,2.8,4200.0,"Houston, Texas"
93,USAA,Insurance,48560.0,14.3,38018.0,"San Antonio, Texas"
94,Bristol-Myers Squibb,Pharmaceutical,48300.0,7.3,34100.0,"New York City, New York"
95,Ingram Micro Holding,Technology,47984.0,-0.1,26125.0,"Irvine, California"
96,General Dynamics,Aerospace and defense,47716.0,12.9,117000.0,"Reston, Virginia"
97,Coca-Cola,Beverage,47061.0,2.9,69700.0,"Atlanta, Georgia"
98,TIAA,Financials,46946.0,2.6,15623.0,"New York City, New York"
99,Travelers,Insurance,46423.0,12.2,34000.0,"New York City, New York"
100,Eli Lilly,Pharmaceutical,45043.0,32.0,47000.0,"Indianapolis, Indiana"
